Country,Year,Rank,Score
HUN,2018,33,44.94
HUN,2019,33,44.51
HUN,2020,35,41.53
HUN,2021,34,42.7
HUN,2022,34,39.8
HUN,2023,35,41.3
HUN,2024,36,39.6
IDN,2011,99,27.78
IDN,2012,100,28.1
IDN,2013,85,31.95
IDN,2014,87,31.81
IDN,2015,97,29.79
IDN,2016,88,29.07
IDN,2017,87,30.1
IDN,2018,85,29.8
IDN,2019,85,29.72
IDN,2020,85,26.49
IDN,2021,87,27.1
IDN,2022,75,27.9
IDN,2023,61,30.3
IDN,2024,54,30.6
IND,2011,62,34.52
IND,2012,64,35.7
IND,2013,66,36.17
IND,2014,76,33.7
IND,2015,81,31.74
IND,2016,66,33.61
IND,2017,60,35.47
IND,2018,57,35.18
IND,2019,52,36.58
IND,2020,48,35.59
IND,2021,46,36.4
IND,2022,40,36.6
IND,2023,40,38.1
IND,2024,39,38.3
IRL,2011,13,54.1
IRL,2012,9,58.7
IRL,2013,10,57.91
IRL,2014,11,56.67
IRL,2015,8,59.13
IRL,2016,7,59.03
IRL,2017,10,58.13
IRL,2018,10,57.19
IRL,2019,12,56.1
IRL,2020,15,53.05
IRL,2021,19,50.7
IRL,2022,23,48.5
IRL,2023,22,50.4
IRL,2024,19,50
IRN,2011,95,28.41
IRN,2012,104,27.3
IRN,2013,113,27.3
IRN,2014,120,26.14
IRN,2015,106,28.37
IRN,2016,78,30.52
IRN,2017,75,32.09
IRN,2018,65,33.44
IRN,2019,61,34.43
IRN,2020,67,30.89
IRN,2021,60,32.9
IRN,2022,53,32.9
IRN,2023,62,30.1
IRN,2024,64,28.9
IRQ,2011,-1,-1
IRQ,2012,-1,-1
IRQ,2013,-1,-1
IRQ,2014,-1,-1
IRQ,2015,-1,-1
IRQ,2016,-1,-1
IRQ,2017,-1,-1
IRQ,2018,-1,-1
IRQ,2019,-1,-1
IRQ,2020,-1,-1
IRQ,2021,-1,-1
IRQ,2022,131,11.9
IRQ,2023,-1,-1
IRQ,2024,-1,-1
ISL,2011,11,55.1
ISL,2012,18,55.7
ISL,2013,13,56.4
ISL,2014,19,54.05
ISL,2015,13,57.02
ISL,2016,13,55.99
ISL,2017,13,55.76
ISL,2018,23,51.24
ISL,2019,20,51.53
ISL,2020,21,49.23
ISL,2021,17,51.8
ISL,2022,20,49.5
ISL,2023,20,50.7
ISL,2024,22,48.5
ISR,2011,14,54.03
ISR,2012,17,56
ISR,2013,14,55.98
ISR,2014,15,55.46
ISR,2015,22,53.54
ISR,2016,21,52.28
ISR,2017,17,53.88
ISR,2018,11,56.79
ISR,2019,10,57.43
ISR,2020,13,53.55
ISR,2021,15,53.4
ISR,2022,16,50.2
ISR,2023,14,54.3
ISR,2024,15,52.7
ITA,2011,35,40.69
ITA,2012,36,44.5
ITA,2013,29,47.85
ITA,2014,31,45.65
ITA,2015,31,46.4
ITA,2016,29,47.17
ITA,2017,29,46.96
ITA,2018,31,46.32
ITA,2019,30,46.3
ITA,2020,28,45.74
ITA,2021,29,45.7
ITA,2022,28,46.1
ITA,2023,26,46.6
ITA,2024,26,45.3
JAM,2011,92,28.88
JAM,2012,91,30.2
JAM,2013,82,32.89
JAM,2014,82,32.41
JAM,2015,96,29.95
JAM,2016,89,28.97
JAM,2017,84,30.36
JAM,2018,81,30.39
JAM,2019,81,30.8
JAM,2020,72,29.1
JAM,2021,74,29.6
JAM,2022,76,27.7
JAM,2023,78,27.1
JAM,2024,79,25.7
JOR,2011,41,38.43
JOR,2012,56,37.1
JOR,2013,61,37.3
JOR,2014,64,36.21
JOR,2015,75,33.78
JOR,2016,82,30.04
JOR,2017,83,30.52
JOR,2018,79,30.77
JOR,2019,86,29.61
JOR,2020,81,27.79
JOR,2021,81,28.3
JOR,2022,78,27.4
JOR,2023,71,28.2
JOR,2024,73,27.5
JPN,2011,20,50.32
JPN,2012,25,51.7
JPN,2013,22,52.23
JPN,2014,21,52.41
JPN,2015,19,53.97
JPN,2016,16,54.52
JPN,2017,14,54.72
JPN,2018,13,54.95
JPN,2019,15,54.68
JPN,2020,16,52.7
JPN,2021,13,54.5
JPN,2022,13,53.6
JPN,2023,13,54.6
JPN,2024,13,54.1
KAZ,2011,84,30.32
KAZ,2012,83,31.9
KAZ,2013,84,32.73
KAZ,2014,79,32.75
KAZ,2015,82,31.25
KAZ,2016,75,31.51
KAZ,2017,78,31.5
KAZ,2018,74,31.42
KAZ,2019,79,31.03
KAZ,2020,77,28.56
